No.	Form	Language	Gloss (1)	Gloss (2)
V261	*sʔuj	Proto-Monic	to be rotten, putrid	to be rotting, decomposing; to stink (Intransitive Verb)
V261.B	*ɕəʔu̱j	Proto-Nyah Kur	to be rotting, decomposing; to stink (Intransitive Verb)	
V261.A	*sʔu̱i̯	Proto-Mon	to be rotten, putrid	
V262	*k[--]ʔuuj	Proto-Monic		
V262a	*k-n-ʔuuj	Proto-Monic	medicine, poison	medicine, poison
V262a.B	*kənʔu̱uj	Proto-Nyah Kur	medicine, poison	
V262a.A	*həʔu̱i̯	Proto-Mon	medicine, poison	
V263	*cŋkuj	Proto-Monic	to be asleep	to feel sleepy (Intransitive Verb) usually in compounds
V263.B	*cəŋku̱j	Proto-Nyah Kur	to feel sleepy (Intransitive Verb) usually in compounds	
V263.A	*həku̱i̯	Proto-Mon	to be asleep	
V264	*sŋuj	Proto-Monic	(food) to be burnt	(food, e.g. curry, rice...) to be overcooked (Transitive Verb)
V264.B	*ɕhŋu̱j	Proto-Nyah Kur	(food, e.g. curry, rice...) to be overcooked (Transitive Verb)	
V264.A	*hɲu̱i̯	Proto-Mon	(food) to be burnt	
V265	*ɟŋəj	Proto-Monic	to be far, distant	to be far (from a place) (Transitive Verb); far (Adverb)
V265.B	*chəŋə̤j	Proto-Nyah Kur	to be far (from a place) (Transitive Verb); far (Adverb)	
V265.A	*ɦɲo̤ɛ̯	Proto-Mon	to be far, distant	
V265a	*ɟ-r-ŋəj	Proto-Monic	distance (Noun)	
V265a.A	*[kə]ɦɲo̤ɛ̯	Proto-Mon	distance (Noun)	
V265b	*ɟ-m-ŋəj	Proto-Monic	distant point (Noun)	
V265b.B	*[kə]ɦɲo̤ɛ̯	Proto-Nyah Kur		
V266	*caj	Proto-Monic	to spread in the sun to dry	to spread (e.g. clothes, meat, fish...) in the sun or in the wind to dry (Transitive Verb)
V266.B	*ca̱j	Proto-Nyah Kur	to spread (e.g. clothes, meat, fish...) in the sun or in the wind to dry (Transitive Verb)	
V266.A	*cɒ̱ɛ̯	Proto-Mon	to spread in the sun to dry	
V267	*ɲɟəj	Proto-Monic	to be sick	to be in pain (Intransitive Verb); to have pain in (a part of the body) (Pseudo-Transitive Verb)
V267.B	*ɕə̤j	Proto-Nyah Kur	to be in pain (Intransitive Verb); to have pain in (a part of the body) (Pseudo-Transitive Verb)	
V267.A	*jɔ̤ɛ̯	Proto-Mon	to be sick	
V268	*gɲaaj	Proto-Monic	to chew (Transitive Verb)	to chew (Transitive Verb)
V268.B	*khəɲa̤aj	Proto-Nyah Kur	to chew (Transitive Verb)	
V268.A	*ɦɲa̤i̯	Proto-Mon	to chew (Transitive Verb)	
V269	*paaj	Proto-Monic	to reject, set aside, leave vacant, avoid, remove from; left side	to climb (a tree, especially a coconut-tree) by using feet and hands only, without embracing the trunk (Transitive Verb) usually with Post-Verb
V269.B	*pa̱aj	Proto-Nyah Kur	to climb (a tree, especially a coconut-tree) by using feet and hands only, without embracing the trunk (Transitive Verb) usually with Post-Verb	
V269.A	*pa̱i̯	Proto-Mon	to reject, set aside, leave vacant, avoid, remove from; left side	
V270	*cmbaaj	Proto-Monic	to carry by a sling from the shoulder	to carry (something) on a sling from the shoulder (Transitive Verb)
V270.B	*kəmpha̤aj	Proto-Nyah Kur	to carry (something) on a sling from the shoulder (Transitive Verb)	
V270.A	*kəma̱i̯	Proto-Mon	to carry by a sling from the shoulder	
V271	*k[--]buuj	Proto-Monic	to cause to sway, swing (Transitive Verb); to shake, sway (Intransitive Verb)	to swing (e.g. a cot, a bag held in hand, one's hands in walking, a child...) (Transitive Verb); (cot, boat...) to sway, be swinging (Intransitive Verb)
V271.B	*kəpṳuj	Proto-Nyah Kur	to swing (e.g. a cot, a bag held in hand, one's hands in walking, a child...) (Transitive Verb); (cot, boat...) to sway, be swinging (Intransitive Verb)	
V271.A	*həwṳi̯	Proto-Mon	to cause to sway, swing (Transitive Verb); to shake, sway (Intransitive Verb)	
V272	*maj	Proto-Monic	to look at	to look at; /kda̱h ma̤y/ look and see
V272.B	*ma̤j	Proto-Nyah Kur	to look at; /kda̱h ma̤y/ look and see	
V272.A	*mo̤ɛ̯	Proto-Mon	to look at	
V272a	*g[r]-maj	Proto-Monic		to see (Transitive Verb)
V272a.B	*khəma̤j	Proto-Nyah Kur	to see (Transitive Verb)	
V273	*ɟ()raaj	Proto-Monic	to be lean, thin of body	(person, animal) to be skinny (Intransitive Verb)
V273.B	*ch(ə)ra̤aj	Proto-Nyah Kur	(person, animal) to be skinny (Intransitive Verb)	
V273.A	*sa̤i̯	Proto-Mon	to be lean, thin of body	
V274	*sraaj	Proto-Monic		(animal) to be fierce, to be aggressive when wounded (Intransitive Verb)
V274.B	*ɕra̱aj	Proto-Nyah Kur	(animal) to be fierce, to be aggressive when wounded (Intransitive Verb)	
V274a	*s-m-raaj	Proto-Monic	wild beast (Noun); class of spirits living in ground and causing disease (Noun)	(animal) aggressive when wounded (Attributive)
V274a.B	*ɕəmra̱aj	Proto-Nyah Kur	(animal) aggressive when wounded (Attributive)	
V274a.A	*həra̱i̯	Proto-Mon	wild beast (Noun); class of spirits living in ground and causing disease (Noun)	
V275	*luuj	Proto-Monic	to wade through	to wade through (e.g. water, mud, grass...) (Transitive Verb)
V275.B	*lṳuj	Proto-Nyah Kur	to wade through (e.g. water, mud, grass...) (Transitive Verb)	
V275.A	*lṳi̯	Proto-Mon	to wade through	
V276	*khaaj	Proto-Monic	to dig (up, out)	to dig (e.g. earth, a hole) by scratching and scooping up (with hands, claws or a small object); to dig (something) out in this manner; to scoop (something, e.g. rice) up and hold it (Transitive Verb)
V276.B	*kha̱aj	Proto-Nyah Kur	to dig (e.g. earth, a hole) by scratching and scooping up (with hands, claws or a small object); to dig (something) out in this manner; to scoop (something, e.g. rice) up and hold it (Transitive Verb)	
V276.A	*kha̱i̯	Proto-Mon	to dig (up, out)	
V276a	*k-n-haaj	Proto-Monic		leftovers of digging activity, e.g. the dust left by termites
V276a.B	*kənha̱aj	Proto-Nyah Kur	leftovers of digging activity, e.g. the dust left by termites	
V277	*phej	Proto-Monic	to be satiated	to be satiated (Intransitive Verb); up to satiety (Adverb)
V277.B	*phə̱j	Proto-Nyah Kur	to be satiated (Intransitive Verb); up to satiety (Adverb)	
V277.A	*phɒ̱ɛ̯	Proto-Mon	to be satiated	
V278	*cʔah	Proto-Monic	to be pure, clear, clean	(a quantity pf grain, e.g. of rice, of peanuts) to be free of impurities, such as stones, broken seeds... (Intransitive Verb)
V278.B	*chʔa̱h	Proto-Nyah Kur	(a quantity pf grain, e.g. of rice, of peanuts) to be free of impurities, such as stones, broken seeds... (Intransitive Verb)	
V278.A	*ʔa̱h	Proto-Mon	to be pure, clear, clean	
V279	*pguh	Proto-Monic	to blow a musical instrument; to blow on, through	to blow on (fire to kindle it, food to cool it...) (Transitive Verb)
V279.B	*pəkṳh	Proto-Nyah Kur	to blow on (fire to kindle it, food to cool it...) (Transitive Verb)	
V279.A	*həkə̤h	Proto-Mon	to blow a musical instrument; to blow on, through	
V280	*pcah	Proto-Monic	sour	to taste sour (Intransitive Verb)
V280.B	*pəca̱h	Proto-Nyah Kur	to taste sour (Intransitive Verb)	
V280.A	*phja̱h	Proto-Mon	sour	
V280a	*p-m-cah	Proto-Monic	sour pickle, sour substance, sourness	a fermented sour dish made with powdered pork-meat (Noun)
V280a.B	*pəmca̱h	Proto-Nyah Kur	a fermented sour dish made with powdered pork-meat (Noun)	
V280a.A	*həca̱h	Proto-Mon	sour pickle, sour substance, sourness	
V281	*kcɔh	Proto-Monic	to spit	to spit (something) (Transitive Verb)
V281.B	*kəcɔ̱h	Proto-Nyah Kur	to spit (something) (Transitive Verb)	
V281.A	*chɔ̱h	Proto-Mon	to spit	
V281a	*k-m-cɔh	Proto-Monic	saliva, spittle	spittle (Noun)
V281a.B	*kəmcɔ̱h	Proto-Nyah Kur	spittle (Noun)	
V281a.A	*kəsɔ̱h	Proto-Mon	saliva, spittle	
V282	*pcuh	Proto-Monic	pale, faded, discolored, sickly	to be pale-colored (e.g. a sick person, young leaves, old clothes) (Intransitive Verb)
V282.B	*pəcu̱h	Proto-Nyah Kur	to be pale-colored (e.g. a sick person, young leaves, old clothes) (Intransitive Verb)	
V282.A	*phjɒ̱ɨ̯h	Proto-Mon	pale, faded, discolored, sickly	
V283	*[k][-l/r-]ɟuh	Proto-Monic	deep	(e.g. container, river, eyes...) to be deep (Intransitive Verb)
V283.B	*[k/l]əɕ(r)ṳh	Proto-Nyah Kur	(e.g. container, river, eyes...) to be deep (Intransitive Verb)	
V283.A	*sə̤h	Proto-Mon	deep	
V283a	*[l/r]-n-ɟuh	Proto-Monic	depth	
V283a.A	*hənjə̤h	Proto-Mon	depth	
V284	*ktah	Proto-Monic	to burst, explode	lightning strikes
V284.B	*kəta̱h	Proto-Nyah Kur	lightning strikes	
V284.A	*(hə)ta̱h	Proto-Mon	to burst, explode	
V285	*dah	Proto-Monic	to hit (a mark), meet with, reach (goal), be correct, apposite, to fit	to hit (something) (with something) (Transitive Verb); to hit with, touch with (something); to undergo (an undesirable action) (Intransitive Verb); to reach (Post-Verb after Verb of Movement); correctly (Adverb)
V285.B	*ta̤h	Proto-Nyah Kur	to hit (something) (with something) (Transitive Verb); to hit with, touch with (something); to undergo (an undesirable action) (Intransitive Verb); to reach (Post-Verb after Verb of Movement); correctly (Adverb)	
V285.A	*tɛ̤ə̯h	Proto-Mon	to hit (a mark), meet with, reach (goal), be correct, apposite, to fit	
V286	*ɟnah	Proto-Monic	to be victorious, win; to overcome, conquer	to win (over someone) (Transitive Verb); to the point of winning (Adverb)
V286.B	*chəna̤h	Proto-Nyah Kur	to win (over someone) (Transitive Verb); to the point of winning (Adverb)	
V286.A	*ɦnɛ̤ə̯h	Proto-Mon	to be victorious, win; to overcome, conquer	
V287	*pɔh	Proto-Monic	to be displaced, blown away	to chase (someone, an animal) (from somewhere) (Transitive Verb)
V287.B	*pɔ̱h	Proto-Nyah Kur	to chase (someone, an animal) (from somewhere) (Transitive Verb)	
V287.A	*pɔ̱h	Proto-Mon	to be displaced, blown away	
V288	*ɓuh	Proto-Monic	boiled in water (e.g. an egg, clothes...) (Transitive Verb)	to boil (a liquid, e.g. curry, alcohol...); to melt (e.g. wax from a honeycomb) (Transitive Verb)
V288.B	*bu̱h	Proto-Nyah Kur	to boil (a liquid, e.g. curry, alcohol...); to melt (e.g. wax from a honeycomb) (Transitive Verb)	
V288.A	*ɓɒ̱ɨh	Proto-Mon	boiled in water (e.g. an egg, clothes...) (Transitive Verb)	
V289	*ɓuh	Proto-Monic	to be cool, pleasant, calm, quiet (Intransitive Verb)	
V289.A	*ɓɒ̱ɨ̯h	Proto-Mon	to be cool, pleasant, calm, quiet (Intransitive Verb)	
V289a	*l-ɓuh	Proto-Monic	to become cool; to make pleasant	(day) to cool off in the evening; (body) to have fever abate (Intransitive Verb)
V289a.B	*ləbu̱h	Proto-Nyah Kur	(day) to cool off in the evening; (body) to have fever abate (Intransitive Verb)	
V289a.A	*həɓɒ̱ɨ̯h	Proto-Mon	to become cool; to make pleasant	
V289b	*l-m-ɓuh	Proto-Monic	to cool, to be cool	to be cooled off (food) (Attributive)
V289b.B	*ləmbu̱h	Proto-Nyah Kur	to be cooled off (food) (Attributive)	
V289b.A	*[k]əmɒ̱u̯h	Proto-Mon	to cool, to be cool	
V290	*k()wɛh	Proto-Monic	indeed, thoroughly, truly	to be real, true (Intransitive Verb); really truly (Adverb)
V290.B	*kəwɛ̱h	Proto-Nyah Kur	to be real, true (Intransitive Verb); really truly (Adverb)	
V290.A	*kwɛ̱h	Proto-Mon	indeed, thoroughly, truly	
V291	*crɔh	Proto-Monic		to wear (e.g. a flower) (on one's ear), to carry (earrings) (in the ear) (Transitive Verb)
V291.B	*crɔh	Proto-Nyah Kur	to wear (e.g. a flower) (on one's ear), to carry (earrings) (in the ear) (Transitive Verb)	
V292	*sruh	Proto-Monic	to put out (a fire)	to pour (e.g. water) (on e.g. fire, plants...) (Transitive Verb)
V292.B	*ɕru̱h	Proto-Nyah Kur	to pour (e.g. water) (on e.g. fire, plants...) (Transitive Verb)	
V292.A	*sɒ̱ɨh	Proto-Mon	to put out (a fire)	
V293	*ruh	Proto-Monic	to tear down (an old house)	to dear down (a house, a wall...); to undo (cloth, a mat...) (Transitive Verb)
V293.B	*rṳh	Proto-Nyah Kur	to dear down (a house, a wall...); to undo (cloth, a mat...) (Transitive Verb)	
V293.A	*rə̤h	Proto-Mon	to tear down (an old house)	
V293a	*s-m-ruh	Proto-Monic	to become dilapidated, collapse; to cause to drop, demolish	(house, mat...) to fall apart; (hair-bun...) to come undone (Intransitive Verb)
V293a.B	*ɕəmru̱h	Proto-Nyah Kur	(house, mat...) to fall apart; (hair-bun...) to come undone (Intransitive Verb)	
V293a.A	*hərɒ̱ɨ̯h	Proto-Mon	to become dilapidated, collapse; to cause to drop, demolish	
V294	*(s)-glɛh	Proto-Monic	to carve up	to extract (e.g. meat adhering to bones, coconut-flesh from shell, bone-marrow, ear-wax...) (with a sharp object, e.g. tip of knife, nails...) (Transitive Verb)
V294.B	*(ɕə-)khlɛ̤h	Proto-Nyah Kur	to extract (e.g. meat adhering to bones, coconut-flesh from shell, bone-marrow, ear-wax...) (with a sharp object, e.g. tip of knife, nails...) (Transitive Verb)	
V294.A	*klɛ̤h	Proto-Mon	to carve up	
V295	*lah	Proto-Monic	to be level, flat, extensive	
V295.A	*lɛ̤ə̯h	Proto-Mon	to be level, flat, extensive	
V295a	*tn-lah	Proto-Monic	leaf, especially metal leaf, foil	sheet-like fully open object (e.g. the top of an umbrella or mushroom, a page, a gold-leaf, a banana leaf for serving food); any cut leaf used as a sheet
V295a.B	*tənla̱h	Proto-Nyah Kur	sheet-like fully open object (e.g. the top of an umbrella or mushroom, a page, a gold-leaf, a banana leaf for serving food); any cut leaf used as a sheet	
V295a.A	*kəna̱h	Proto-Mon	leaf, especially metal leaf, foil	
V296	*blah	Proto-Monic	to escape, be free from, go free, pass off	to be released, go free (Intransitive Verb)
V296.B	*phla̤h	Proto-Nyah Kur	to be released, go free (Intransitive Verb)	
V296.A	*plɛ̤ə̯h	Proto-Mon	to escape, be free from, go free, pass off	
V296a	*b[]lah	Proto-Monic	to let go, to free from, to send for	to release
V296a.B	*phəla̤h	Proto-Nyah Kur	to release	
V296a.A	*həlɛ̤ə̯h	Proto-Mon	to let go, to free from, to send for	
V297	*blah	Proto-Monic	(illness) to get better	(wound) to heal (Intransitive Verb); (person) to recover from (disease) (Pseudo-Transitive Verb)
V297.B	*phla̤h	Proto-Nyah Kur	(wound) to heal (Intransitive Verb); (person) to recover from (disease) (Pseudo-Transitive Verb)	
V297.A	*plɛ̤ə̯h	Proto-Mon	(illness) to get better	
V298	*nsɔh	Proto-Monic	to untie (e.g. a knot); to answer, to solve	to untie (e.g. a knot, a hair-bun); to open (one's shirt) (Transitive Verb)
V298.B	*ɲɕɔ̱h	Proto-Nyah Kur	to untie (e.g. a knot, a hair-bun); to open (one's shirt) (Transitive Verb)	
V298.A	*sɔ̱h	Proto-Mon	to untie (e.g. a knot); to answer, to solve
